Ciudades,Rutas,TotalPremium,LimitePremium,Nanosegundos
5,8,6,6,18927
5,8,7,0,3143
5,8,7,1,5029
5,8,7,2,7054
5,8,7,3,9359
5,8,7,4,11804
5,8,7,5,14666
5,8,7,6,18298
5,8,7,7,22140
5,8,8,0,3003
5,8,8,1,4819
5,8,8,2,6844
5,8,8,3,9079
5,8,8,4,12152
5,8,8,5,14317
5,8,8,6,17880
5,8,8,7,21860
5,8,8,8,25212
5,9,0,0,3701
5,9,1,0,3562
5,9,1,1,5308
5,9,2,0,3632
5,9,2,1,5168
5,9,2,2,7124
5,9,3,0,3492
5,9,3,1,5168
5,9,3,2,7194
5,9,3,3,9289
5,9,4,0,3213
5,9,4,1,5099
5,9,4,2,6844
5,9,4,3,9359
5,9,4,4,11594
5,9,5,0,3212
5,9,5,1,5168
5,9,5,2,6845
5,9,5,3,9358
5,9,5,4,11663
5,9,5,5,15015
5,9,6,0,3283
5,9,6,1,5378
5,9,6,2,6915
5,9,6,3,9498
5,9,6,4,12013
5,9,6,5,14527
5,9,6,6,18368
5,9,7,0,3562
5,9,7,1,5099
5,9,7,2,6844
5,9,7,3,9359
5,9,7,4,11524
5,9,7,5,14667
5,9,7,6,18438
5,9,7,7,21999
5,9,8,0,3562
5,9,8,1,5238
5,9,8,2,7124
5,9,8,3,9289
5,9,8,4,11943
5,9,8,5,14806
5,9,8,6,18088
5,9,8,7,21930
5,9,8,8,25911
5,9,9,0,3422
5,9,9,1,5168
5,9,9,2,7054
5,9,9,3,9288
5,9,9,4,12082
5,9,9,5,14736
5,9,9,6,18368
5,9,9,7,22000
5,9,9,8,25981
5,9,9,9,30101
5,10,0,0,3631
5,10,1,0,3562
5,10,1,1,5238
5,10,2,0,3562
5,10,2,1,5307
5,10,2,2,7752
5,10,3,0,3701
5,10,3,1,5448
5,10,3,2,7334
5,10,3,3,9847
5,10,4,0,3283
5,10,4,1,5239
5,10,4,2,7193
5,10,4,3,9917
5,10,4,4,12292
5,10,5,0,3282
5,10,5,1,5377
5,10,5,2,7124
5,10,5,3,9778
5,10,5,4,12152
5,10,5,5,15225
5,10,6,0,3352
5,10,6,1,5587
5,10,6,2,7263
5,10,6,3,10197
5,10,6,4,12501
5,10,6,5,15086
5,10,6,6,19206
5,10,7,0,3562
5,10,7,1,5378
5,10,7,2,7473
5,10,7,3,9708
5,10,7,4,12152
5,10,7,5,15715
5,10,7,6,19137
5,10,7,7,23256
5,10,8,0,3632
5,10,8,1,5866
5,10,8,2,7264
5,10,8,3,10196
5,10,8,4,12292
5,10,8,5,15295
5,10,8,6,18857
5,10,8,7,22699
5,10,8,8,26679
5,10,9,0,3632
5,10,9,1,5308
5,10,9,2,7472
5,10,9,3,9847
5,10,9,4,12152
5,10,9,5,15365
5,10,9,6,19276
5,10,9,7,22977
5,10,9,8,26888
5,10,9,9,31289
5,10,10,0,3562
5,10,10,1,5238
5,10,10,2,7473
5,10,10,3,10057
5,10,10,4,12571
5,10,10,5,15295
5,10,10,6,18996
5,10,10,7,22699
5,10,10,8,26400
5,10,10,9,30869
5,10,10,10,35828
6,1,0,0,2584
6,1,1,0,2654
6,1,1,1,4469
6,2,0,0,2724
6,2,1,0,2794
6,2,1,1,4400
6,2,2,0,2654
6,2,2,1,4331
6,2,2,2,6006
6,3,0,0,2724
6,3,1,0,2724
6,3,1,1,4469
6,3,2,0,2654
6,3,2,1,4330
6,3,2,2,6007
6,3,3,0,2724
6,3,3,1,4400
6,3,3,2,6006
6,3,3,3,9009
6,4,0,0,2793
6,4,1,0,2654
6,4,1,1,4331
6,4,2,0,2654
6,4,2,1,4400
6,4,2,2,6007
6,4,3,0,2724
6,4,3,1,4609
6,4,3,2,6006
6,4,3,3,8730
6,4,4,0,2584
6,4,4,1,4331
6,4,4,2,6076
6,4,4,3,8591
6,4,4,4,11803
6,5,0,0,2654
6,5,1,0,2654
6,5,1,1,4400
6,5,2,0,2724
6,5,2,1,4400
6,5,2,2,5936
6,5,3,0,2724
6,5,3,1,4540
6,5,3,2,6076
6,5,3,3,8590
6,5,4,0,2724
6,5,4,1,4400
6,5,4,2,6495
6,5,4,3,8590
6,5,4,4,11523
6,5,5,0,2724
6,5,5,1,4400
6,5,5,2,6006
6,5,5,3,8660
6,5,5,4,11733
6,5,5,5,15295
6,6,0,0,2724
6,6,1,0,2793
6,6,1,1,4609
6,6,2,0,2863
6,6,2,1,5168
6,6,2,2,6425
6,6,3,0,2863
6,6,3,1,5168
6,6,3,2,6635
6,6,3,3,8870
6,6,4,0,2934
6,6,4,1,4679
6,6,4,2,6286
6,6,4,3,9010
6,6,4,4,12152
6,6,5,0,2794
6,6,5,1,4749
6,6,5,2,6216
6,6,5,3,8939
6,6,5,4,12432
6,6,5,5,15854
6,6,6,0,2864
6,6,6,1,4540
6,6,6,2,6355
6,6,6,3,9079
6,6,6,4,12222
6,6,6,5,16063
6,6,6,6,20114
6,7,0,0,2864
6,7,1,0,2934
6,7,1,1,4889
6,7,2,0,2934
6,7,2,1,4889
6,7,2,2,7193
6,7,3,0,2933
6,7,3,1,4889
6,7,3,2,7124
6,7,3,3,9289
6,7,4,0,2933
6,7,4,1,4888
6,7,4,2,7194
6,7,4,3,9777
6,7,4,4,12572
6,7,5,0,2863
6,7,5,1,4889
6,7,5,2,7054
6,7,5,3,9428
6,7,5,4,12502
6,7,5,5,16762
6,7,6,0,2933
6,7,6,1,4819
6,7,6,2,6984
6,7,6,3,9429
6,7,6,4,12711
6,7,6,5,16761
6,7,6,6,21371
6,7,7,0,3004
6,7,7,1,4749
6,7,7,2,7053
6,7,7,3,9499
6,7,7,4,12502
6,7,7,5,16622
6,7,7,6,20813
6,7,7,7,25491
6,8,0,0,2933
6,8,1,0,3142
6,8,1,1,5587
6,8,2,0,3073
6,8,2,1,5029
6,8,2,2,7752
6,8,3,0,3003
6,8,3,1,4889
6,8,3,2,7404
6,8,3,3,9917
