Ciudades,PesoMaximo,Nanosegundos
9,40,97359
9,41,97358
9,42,97637
9,43,116495
9,44,114819
9,45,97009
9,46,115517
9,47,116146
9,48,96729
9,49,118031
9,50,115098
10,0,75568
10,1,78641
10,2,83530
10,3,81644
10,4,79758
10,5,81993
10,6,80457
10,7,81156
10,8,78501
10,9,80107
10,10,78781
10,11,79410
10,12,103784
10,13,79828
10,14,80666
10,15,105181
10,16,105111
10,17,105599
10,18,103644
10,19,104342
10,20,104622
10,21,103924
10,22,102806
10,23,128438
10,24,129694
10,25,103854
10,26,102806
10,27,106019
10,28,130533
10,29,128997
10,30,103854
10,31,129765
10,32,127600
10,33,128997
10,34,129974
10,35,128926
10,36,127879
10,37,127460
10,38,130603
10,39,129555
10,40,130393
10,41,154000
10,42,128088
10,43,129905
10,44,131022
10,45,152043
10,46,129276
10,47,153650
10,48,154348
10,49,129136
10,50,153440
11,0,99803
11,1,105599
11,2,108183
11,3,107486
11,4,107485
11,5,106926
11,6,104971
11,7,104691
11,8,105739
11,9,102876
11,10,104133
11,11,105460
11,12,103434
11,13,103504
11,14,101339
11,15,134513
11,16,136679
11,17,134723
11,18,135492
11,19,136120
11,20,137307
11,21,134793
11,22,133257
11,23,136609
11,24,133955
11,25,137029
11,26,166641
11,27,169365
11,28,168316
11,29,137447
11,30,164965
11,31,167199
11,32,169224
11,33,166780
11,34,168108
11,35,167269
11,36,169714
11,37,169574
11,38,168317
11,39,166850
11,40,168457
11,41,168945
11,42,167758
11,43,168457
11,44,168108
11,45,169224
11,46,167758
11,47,167548
11,48,203097
11,49,198558
11,50,198418
12,0,210710
12,1,216577
12,2,218672
12,3,219440
12,4,226913
12,5,227751
12,6,222583
12,7,221675
12,8,224189
12,9,221326
12,10,225238
12,11,223281
12,12,221466
12,13,223351
12,14,222723
12,15,220698
12,16,220139
12,17,222863
12,18,259529
12,19,222584
12,20,262812
12,21,217764
12,22,221187
12,23,260297
12,24,218114
12,25,258621
12,26,259739
12,27,220418
12,28,220348
12,29,258062
12,30,258551
12,31,257853
12,32,254221
12,33,218742
12,34,214691
12,35,215738
12,36,255409
12,37,214691
12,38,255688
12,39,215390
12,40,256107
12,41,256735
12,42,256246
12,43,253802
12,44,251079
12,45,211968
12,46,254361
12,47,256247
12,48,254081
12,49,252825
12,50,210640
13,0,263859
13,1,272030
13,2,279783
13,3,286278
13,4,282576
13,5,280342
13,6,279713
13,7,285789
13,8,280272
13,9,285441
13,10,278805
13,11,280551
13,12,281110
13,13,277199
13,14,280412
13,15,276780
13,16,278456
13,17,272869
13,18,274405
13,19,281319
13,20,281040
13,21,325319
13,22,275593
13,23,275802
13,24,271891
13,25,276780
13,26,270425
13,27,326017
13,28,276082
13,29,320431
13,30,326577
13,31,271821
13,32,324691
13,33,276780
13,34,267421
13,35,321059
13,36,321827
13,37,327554
13,38,323992
13,39,320919
13,40,323224
13,41,318894
13,42,273078
13,43,272310
13,44,318195
13,45,268189
13,46,269307
13,47,320081
13,48,317218
13,49,319802
13,50,317707
14,0,326157
14,1,350602
14,2,348926
14,3,343198
14,4,347529
14,5,349904
14,6,345504
14,7,350462
14,8,349764
14,9,345504
14,10,343827
14,11,340056
14,12,341732
14,13,341382
14,14,346831
14,15,406824
14,16,342500
14,17,339008
14,18,346272
14,19,342361
14,20,343478
14,21,346691
14,22,396208
14,23,399770
14,24,338030
14,25,338240
14,26,340265
14,27,397396
14,28,337402
14,29,397325
14,30,335027
14,31,336144
14,32,338030
14,33,397675
14,34,400189
14,35,398792
14,36,394602
14,37,338869
14,38,332303
14,39,399700
14,40,334049
14,41,397535
14,42,398303
14,43,396487
14,44,394462
14,45,395510
14,46,395021
14,47,331675
14,48,397186
14,49,390830
14,50,396557
15,0,1256928
15,1,1342344
15,2,1361201
15,3,1328306
15,4,1343252
15,5,1354077
15,6,1376636
15,7,1343532
15,8,1358547
15,9,1349608
15,10,1339829
15,11,1364972
15,12,1348909
15,13,1360572
15,14,1350166
15,15,1350306
15,16,1347791
15,17,1335848
15,18,1334522
15,19,1372795
15,20,1334452
15,21,1349329
15,22,1319227
15,23,1356941
15,24,1339271
15,25,1408344
15,26,1350865
15,27,1348350
15,28,1387113
15,29,1347862
15,30,1338433
15,31,1326769
15,32,1351563
15,33,1360014
15,34,1437189
15,35,1437188
15,36,1419378
15,37,1412604
15,38,1356591
15,39,1419448
15,40,1362179
15,41,1426084
15,42,1337385
15,43,1424547
15,44,1412185
15,45,1413302
15,46,1422591
15,47,1444731
15,48,1344020
15,49,1428108
15,50,1407995
16,0,477363
16,1,510748
16,2,499992
16,3,512843
16,4,511725
16,5,510608
16,6,510677
16,7,515916
16,8,513890
16,9,518639
16,10,509281
16,11,515008
16,12,505858
16,13,503065
16,14,497338
16,15,506766
16,16,504601
16,17,496640
16,18,506557
16,19,509001
16,20,590995
16,21,496779
16,22,504182
16,23,502296
16,24,497198
16,25,587992
16,26,593299
16,27,598188
16,28,496919
16,29,491052
16,30,497966
16,31,495243
16,32,496500
16,33,495871
16,34,494404
16,35,489655
16,36,586804
16,37,582753
16,38,585407
16,39,490843
16,40,573534
16,41,580170
16,42,487560
16,43,488119
16,44,488677
16,45,486163
16,46,486233
16,47,482462
16,48,580239
16,49,575070
16,50,578284
17,0,558588
17,1,603706
17,2,614531
17,3,607757
17,4,617534
17,5,610550
17,6,602658
17,7,601331
17,8,617884
17,9,615788
17,10,620049
17,11,616766
17,12,609922
17,13,604753
17,14,612994
17,15,603916
17,16,601820
17,17,606569
17,18,604195
17,19,597909
17,20,602239
17,21,592042
17,22,607128
17,23,593788
17,24,588759
17,25,586804
17,26,593089
17,27,594626
17,28,591204
17,29,697781
17,30,590366
17,31,595115
17,32,688632
17,33,595883
17,34,587363
17,35,584848
17,36,699178
17,37,689610
17,38,582893
17,39,584989
17,40,584080
17,41,592601
17,42,694010
17,43,692543
17,44,586036
17,45,694498
17,46,685629
17,47,683255
17,48,684023
17,49,690728
17,50,687934
18,0,2121141
18,1,2279261
18,2,2296652
18,3,2268086
18,4,2250138
18,5,2335064
18,6,2354969
18,7,2286874
18,8,2330314
18,9,2283172
18,10,2338766
18,11,2288549
18,12,2315509
18,13,2310480
18,14,2329756
18,15,2288480
18,16,2307058
18,17,2309502
18,18,2277235
18,19,2273185
18,20,2264315
18,21,2263197
18,22,2264874
18,23,2313064
18,24,2327801
18,25,2283871
18,26,2277306
18,27,2286175
18,28,2268505
18,29,2284778
18,30,2389540
18,31,2331432
18,32,2406931
18,33,2254188
18,34,2279330
18,35,2309153
18,36,2308804
18,37,2283033
18,38,2417755
18,39,2267388
18,40,2246436
18,41,2288829
18,42,2386956
18,43,2256214
18,44,2409235
18,45,2254468
18,46,2233934
18,47,2396175
18,48,2415242
18,49,2300073
18,50,2260125
19,0,782289
19,1,826498
19,2,844098
19,3,845355
19,4,858206
19,5,845006
19,6,853736
19,7,848778
19,8,847660
19,9,834530
19,10,835577
19,11,826358
19,12,826359
19,13,826149
19,14,829991
19,15,833203
19,16,840118
19,17,822518
19,18,819165
19,19,823775
19,20,827546
19,21,822238
19,22,820352
19,23,816022
19,24,816930
19,25,807641
19,26,820911
19,27,822098
19,28,807083
19,29,802542
19,30,816302
19,31,803521
19,32,806664
19,33,812810
19,34,805476
19,35,806804
19,36,800658
19,37,806384
19,38,795489
19,39,805337
19,40,791299
19,41,802893
19,42,798911
19,43,806455
19,44,803591
19,45,801635
19,46,793394
19,47,955285
19,48,796677
19,49,948790
19,50,957450
20,0,1885
20,1,205891
20,2,205752
20,3,397395
20,4,397325
20,5,388246
20,6,388456
20,7,592741
20,8,579470
20,9,581636
20,10,586734
20,11,586734
20,12,574023
20,13,578004
20,14,580100
20,15,758264
20,16,757495
20,17,754423
20,18,754423
20,19,743667
20,20,756238
20,21,744994
20,22,750232
20,23,768251
20,24,749394
20,25,747787
20,26,753514
20,27,747997
20,28,759800
20,29,744296
20,30,749185
20,31,926371
20,32,924694
20,33,928886
20,34,931749
20,35,918829
20,36,930422
20,37,933984
20,38,932308
20,39,930911
20,40,928955
20,41,928606
20,42,922739
20,43,920156
20,44,930632
20,45,925812
20,46,918828
20,47,1106561
20,48,927628
20,49,915825
20,50,920784
